cell,id,col_index,row_index,left,bottom,right,top,dist_km,band,manual_m2,split
c6r5,66,6,5,431000.0,434000.0,432000.0,435000.0,1.972,1-2,112091.2,test
c6r6,67,6,6,431000.0,433000.0,432000.0,434000.0,1.669,1-2,39192.8,test
c6r8,69,6,8,431000.0,431000.0,432000.0,432000.0,2.565,2-3,87560.7,test
c6r9,70,6,9,431000.0,430000.0,432000.0,431000.0,3.388,3-4,57093.7,test
c7r0,71,7,0,432000.0,439000.0,433000.0,440000.0,6.613,>4,2645.5,test
c7r1,72,7,1,432000.0,438000.0,433000.0,439000.0,5.712,>4,11232.7,test
c7r3,74,7,3,432000.0,436000.0,433000.0,437000.0,4.053,>4,19161.7,test
c7r5,76,7,5,432000.0,434000.0,433000.0,435000.0,2.868,2-3,23489.3,test
c7r6,77,7,6,432000.0,433000.0,433000.0,434000.0,2.668,2-3,38122.6,test
c7r9,80,7,9,432000.0,430000.0,433000.0,431000.0,3.977,3-4,106906.7,test
c8r1,82,8,1,433000.0,438000.0,434000.0,439000.0,6.242,>4,1237.9,test
c8r3,84,8,3,433000.0,436000.0,434000.0,437000.0,4.771,>4,11033.1,test
c8r4,85,8,4,433000.0,435000.0,434000.0,436000.0,4.202,>4,13368.7,test
c8r5,86,8,5,433000.0,434000.0,434000.0,435000.0,3.816,3-4,9507.3,test
c8r7,88,8,7,433000.0,432000.0,434000.0,433000.0,3.789,3-4,106006.9,test
c8r8,89,8,8,433000.0,431000.0,434000.0,432000.0,4.154,>4,20879.2,test
c8r9,90,8,9,433000.0,430000.0,434000.0,431000.0,4.706,>4,32982.0,test
c9r0,91,9,0,434000.0,439000.0,435000.0,440000.0,7.642,>4,785.8,test
c9r1,92,9,1,434000.0,438000.0,435000.0,439000.0,6.878,>4,7265.2,test
c9r3,94,9,3,434000.0,436000.0,435000.0,437000.0,5.577,>4,10764.1,test
c9r7,98,9,7,434000.0,432000.0,435000.0,433000.0,4.763,>4,38495.2,test
c0r0,1,0,0,425000.0,439000.0,426000.0,440000.0,7.442,>4,11958.1,train
c0r2,3,0,2,425000.0,437000.0,426000.0,438000.0,5.931,>4,10779.8,train
c0r4,5,0,4,425000.0,435000.0,426000.0,436000.0,4.793,>4,9984.8,train
c0r7,8,0,7,425000.0,432000.0,426000.0,433000.0,4.435,>4,15285.8,train
c0r9,10,0,9,425000.0,430000.0,426000.0,431000.0,5.24,>4,0.0,train
c1r0,11,1,0,426000.0,439000.0,427000.0,440000.0,6.908,>4,7052.4,train
c1r1,12,1,1,426000.0,438000.0,427000.0,439000.0,6.051,>4,33469.1,train
c1r2,13,1,2,426000.0,437000.0,427000.0,438000.0,5.245,>4,6665.4,train
c1r4,15,1,4,426000.0,435000.0,427000.0,436000.0,3.913,3-4,47794.3,train
c1r7,18,1,7,426000.0,432000.0,427000.0,433000.0,3.465,3-4,9296.1,train
c1r8,19,1,8,426000.0,431000.0,427000.0,432000.0,3.86,3-4,53947.6,train
c2r1,22,2,1,427000.0,438000.0,428000.0,439000.0,5.563,>4,11395.4,train
c2r2,23,2,2,427000.0,437000.0,428000.0,438000.0,4.674,>4,13104.5,train
c2r4,25,2,4,427000.0,435000.0,428000.0,436000.0,3.106,3-4,16284.5,train
c2r5,26,2,5,427000.0,434000.0,428000.0,435000.0,2.558,2-3,79329.8,train
c2r7,28,2,7,427000.0,432000.0,428000.0,433000.0,2.518,2-3,24978.6,train
c2r8,29,2,8,427000.0,431000.0,428000.0,432000.0,3.039,3-4,188065.4,train
c3r1,32,3,1,428000.0,438000.0,429000.0,439000.0,5.224,>4,2761.4,train
c3r4,35,3,4,428000.0,435000.0,429000.0,436000.0,2.446,2-3,8825.9,train
c3r6,37,3,6,428000.0,433000.0,429000.0,434000.0,1.333,1-2,82639.9,train
c3r8,39,3,8,428000.0,431000.0,429000.0,432000.0,2.361,2-3,91920.3,train
c4r3,44,4,3,429000.0,436000.0,430000.0,437000.0,3.069,3-4,6485.1,train
c4r4,45,4,4,429000.0,435000.0,430000.0,436000.0,2.078,2-3,22054.8,train
c4r5,46,4,5,429000.0,434000.0,430000.0,435000.0,1.102,1-2,26483.0,train
c4r8,49,4,8,429000.0,431000.0,430000.0,432000.0,1.977,1-2,19005.5,train
c5r0,51,5,0,430000.0,439000.0,431000.0,440000.0,6.088,>4,12247.5,train
c5r1,52,5,1,430000.0,438000.0,431000.0,439000.0,5.095,>4,24461.1,train
c5r4,55,5,4,430000.0,435000.0,431000.0,436000.0,2.157,2-3,39397.6,train
c5r5,56,5,5,430000.0,434000.0,431000.0,435000.0,1.245,1-2,79116.8,train
c5r6,57,5,6,430000.0,433000.0,431000.0,434000.0,0.67,<1,54359.5,train
c5r7,58,5,7,430000.0,432000.0,431000.0,433000.0,1.161,1-2,127896.2,train
c5r9,60,5,9,430000.0,430000.0,431000.0,431000.0,3.024,3-4,63078.9,train
c6r0,61,6,0,431000.0,439000.0,432000.0,440000.0,6.277,>4,10638.6,train
c6r1,62,6,1,431000.0,438000.0,432000.0,439000.0,5.319,>4,10676.7,train
c6r2,63,6,2,431000.0,437000.0,432000.0,438000.0,4.381,>4,6562.2,train
c6r3,64,6,3,431000.0,436000.0,432000.0,437000.0,3.477,3-4,10083.4,train
c6r7,68,6,7,431000.0,432000.0,432000.0,433000.0,1.919,1-2,70136.6,train
c7r2,73,7,2,432000.0,437000.0,433000.0,438000.0,4.851,>4,11221.7,train
c7r4,75,7,4,432000.0,435000.0,433000.0,436000.0,3.365,3-4,17915.9,train
c7r7,78,7,7,432000.0,432000.0,433000.0,433000.0,2.832,2-3,71206.9,train
c7r8,79,7,8,432000.0,431000.0,433000.0,432000.0,3.304,3-4,73997.6,train
c8r0,81,8,0,433000.0,439000.0,434000.0,440000.0,7.076,>4,1023.6,train
c8r2,83,8,2,433000.0,437000.0,434000.0,438000.0,5.465,>4,6488.1,train
c8r6,87,8,6,433000.0,433000.0,434000.0,434000.0,3.668,3-4,10875.2,train
c9r2,93,9,2,434000.0,437000.0,435000.0,438000.0,6.181,>4,2101.8,train
c9r4,95,9,4,434000.0,435000.0,435000.0,436000.0,5.099,>4,9343.8,train
c9r5,96,9,5,434000.0,434000.0,435000.0,435000.0,4.785,>4,32712.9,train
c9r6,97,9,6,434000.0,433000.0,435000.0,434000.0,4.668,>4,13546.5,train
c9r8,99,9,8,434000.0,431000.0,435000.0,432000.0,5.059,>4,71847.7,train
c9r9,100,9,9,434000.0,430000.0,435000.0,431000.0,5.521,>4,19495.4,train
